,k,norm,accuracy
0,1,1,95.0
1,2,1,95.0
2,3,1,92.5
3,4,1,92.5
4,5,1,95.0
5,6,1,92.5
6,7,1,95.0
7,8,1,90.0
8,9,1,92.5
9,10,1,92.5
10,11,1,97.5
11,12,1,92.5
12,13,1,92.5
13,14,1,92.5
14,15,1,92.5
15,16,1,92.5
16,17,1,92.5
17,18,1,92.5
18,19,1,92.5
19,20,1,92.5
20,21,1,92.5
21,22,1,92.5
22,23,1,92.5
23,24,1,92.5
