,k,norm,accuracy
0,1,2,95.0
1,2,2,95.0
2,3,2,95.0
3,4,2,95.0
4,5,2,100.0
5,6,2,97.5
6,7,2,100.0
7,8,2,92.5
8,9,2,95.0
9,10,2,92.5
